-5	-3.26325	-2.2379
-4.8	-5.00083	-3.88424
-4.6	-2.77623	-5.27516
-4.4	-7.55021	-6.42303
-4.2	-7.7657	-7.34025
-4	-6.94555	-8.03918
-3.8	-9.76815	-8.5322
-3.6	-6.07174	-8.8317
-3.4	-9.30705	-8.95004
-3.2	-7.6477	-8.89961
-3	-9.90151	-8.69278
-2.8	-9.39238	-8.34194
-2.6	-8.75525	-7.85946
-2.4	-5.87874	-7.25773
-2.2	-6.97904	-6.54911
-2	-5.61809	-5.74598
-1.8	-3.12328	-4.86073
-1.6	-3.5874	-3.90574
-1.4	-4.3917	-2.89337
-1.2	-1.0712	-1.83601
-1	-2.061	-0.746044
-0.8	1.3115	0.36416
-0.6	1.79191	1.48222
-0.4	3.45686	2.59576
-0.2	1.81736	3.6924
2.16493e-15	4.34187	4.75976
0.2	3.68824	5.78546
0.4	7.06341	6.75713
0.6	6.68995	7.66239
0.8	6.09801	8.48886
1	10.8221	9.22415
1.2	11.5	9.8559
1.4	9.03899	10.3717
1.6	12.7694	10.7592
1.8	12.4176	11.0061
2	10.864	11.0999
2.2	11.1234	11.0282
2.4	10.9493	10.7787
2.6	12.5643	10.3391
2.8	8.9833	9.69683
3	8.22123	8.83963
3.2	8.55453	7.75511
3.4	6.68276	6.43089
3.6	2.85544	4.85457
3.8	3.11443	3.0138
4	0.474669	0.896179
4.2	-2.84127	-1.51066
4.4	-3.16077	-4.21909
4.6	-6.94587	-7.24151
4.8	-10.5161	-10.5903
0	0	0
